persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::107604,107604,persona,A high school student from another country who is inspired by the competition winner's success and seeks their advice,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references a 'competition winner,' which implies a current academic context involving school-level activities, indicating enrollment in high school or upper secondary school.",0,16,16,,
persona::108025,108025,persona,A high school sophomore struggling to find effective study methods,16,yes,100,"The persona explicitly identifies the individual as a 'high school sophomore' and implies current enrollment in high school through the context of struggling with study methods, which is a typical concern within the high school academic environment.",0,16,16,,
persona::109709,109709,persona,an ambitious high school student planning to study oceanography,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies current enrollment in high school through the context of planning future studies in oceanography, which aligns with typical high school academic planning.",0,16,16,,
persona::110472,110472,persona,"A high school student who embraces pop culture and modern movies, preferring to spend time on TikTok rather than watching classic cinema",16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'TikTok,' which is a concrete school context related to social media use among students, indicating current high school enrollment.",0,16,16,,
persona::110637,110637,persona,"A high school student living in a rural area, committed to taking advantage of any educational opportunity",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'educational opportunity' within the context of a rural area, which implies current enrollment in a high school setting.",0,16,16,,
persona::111446,111446,persona,A high school student searching for information to complete a report on Arunachal Pradesh's governance,16,yes,100,"The persona explicitly identifies as a 'high school student' and is searching for information to complete a 'report', which is a concrete school context involving coursework and academic tasks.",0,16,16,,
persona::111486,111486,persona,A fellow high school student who has also been mentored and now wants to join forces to create a stronger impact,16,yes,100,"The persona explicitly identifies as 'a fellow high school student' and references being 'mentored' within a school context, indicating current enrollment in high school.",0,16,16,,
persona::112092,112092,persona,A high school student who relies on the radio host's recommendations to stay up-to-date with the latest music trends,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'staying up-to-date with the latest music trends' within the context of school life, implying current enrollment in high school.",0,16,16,,
persona::112391,112391,persona,an Oyster Bay High School student who is a proud member of the chess club and has little interest in any sports,16,yes,100,"The persona explicitly identifies the individual as 'an Oyster Bay High School student' and mentions involvement in the 'chess club,' which is a concrete school context within a high school environment.",0,16,16,,
persona::113464,113464,persona,A high school student who is part of a military family and attends the local school,16,yes,100,The persona explicitly identifies the individual as a 'high school student' and includes the concrete school context of attending 'the local school'.,0,16,16,,
persona::113727,113727,persona,A native English high school student who's attempting to learn Old English as part of a school project,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions learning Old English 'as part of a school project', which provides a concrete reference to a school context (a class project).",0,16,16,,
