persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::167927,167927,persona,A high school student who feels conflicted about their parent's protective instincts,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies a current school context through the emotional conflict related to parental protection, which is typically tied to ongoing high school experiences.",0,16,16,,
persona::167963,167963,persona,A high school student regularly visiting to gain knowledge about classical literature for school assignments,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'school assignments,' which is a concrete reference to a high school context.",0,16,16,,
persona::168483,168483,persona,"A high school student studying hard for math exams, aiming to follow the family tradition into accounting",16,yes,100,The persona explicitly identifies the individual as a 'high school student' and includes the concrete school context of studying for 'math exams'.,0,16,16,,
persona::169810,169810,persona,A high school student taking advanced courses in world history and cultural studies,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'advanced courses in world history and cultural studies,' which constitutes a concrete reference to a school context such as coursework.",0,16,16,,
persona::170150,170150,persona,A curious high school student who asks the retired judge endless questions about famous landmark cases,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of asking questions about famous landmark cases, which implies an academic or educational setting typical of high school coursework or curriculum.",0,16,16,,
persona::170539,170539,persona,A high school student struggling with complex sentence construction and punctuation,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies a current academic context through the mention of 'complex sentence construction and punctuation,' which are typical topics in high school English coursework.",0,16,16,,
persona::171304,171304,persona,A high school student inspired by literature and working to build his volunteer service hours,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'volunteer service hours,' which is a concrete reference to a school context typically associated with high school requirements.",0,16,16,,
persona::172067,172067,persona,A high school student seeking guidance on how to start their own tech blog and improve their coding skills,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions seeking guidance on improving coding skills, which is a concrete reference to a school-related academic pursuit within the context of high school.",0,16,16,,
persona::172700,172700,persona,"Hungarian high school student passionate about sports, with fencing as a favorite.",16,yes,100,"The persona explicitly identifies the individual as a 'Hungarian high school student' and includes the context of being passionate about sports, which implies current participation in school-related activities, consistent with a high school environment.",0,16,16,,
persona::172892,172892,persona,A struggling high school student who finally experiences a breakthrough in their understanding of calculus,16,yes,100,"The persona explicitly identifies the individual as a 'struggling high school student' and references 'calculus,' which is a subject typically taught in high school, indicating a concrete school context.",0,16,16,,
persona::172950,172950,persona,A curious high school sophomore keen on using geographic knowledge to start an ecotourism business,16,yes,100,"The persona explicitly identifies the individual as a 'high school sophomore' and expresses interest in using geographic knowledge, which implies current enrollment in high school coursework or curriculum.",0,16,16,,
persona::172952,172952,persona,A sports-loving high schooler who knows nothing about music and historical events.,16,yes,100,"The persona explicitly identifies the individual as a 'high schooler' and includes the context of being a student in a high school setting, which satisfies the mandatory conditions.",0,16,16,,
persona::172968,172968,persona,a Hawaiian high school student who loves to read about influential figures from his region,16,yes,100,"The persona explicitly identifies as a 'Hawaiian high school student' and includes the context of being a student in a high school setting, which satisfies the mandatory conditions.",0,16,16,,
persona::173120,173120,persona,A high school student who assists with the production of the gardening show and aspires to become a horticulturalist,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes a concrete school context by mentioning involvement in 'the production of the gardening show,' which is a school-related activity.",0,16,16,,
persona::173367,173367,persona,A high school student interested in pursuing a career in social work and looks up to the retired social worker as a role model,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in a career in social work, which implies current engagement in high school education and context.",0,16,16,,
persona::173673,173673,persona,A regular high school student who never had to use any subscription-based study aid before,16,yes,100,"The persona explicitly identifies as a 'regular high school student' and refers to using 'subscription-based study aid,' which implies current engagement with high school coursework and academic resources.",0,16,16,,
persona::174980,174980,persona,A curious high school student who recently took up an interest in virology and is learning about the coronavirus for a school project.,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions learning about the coronavirus 'for a school project,' which constitutes a concrete school context involving coursework.",0,16,16,,
persona::176055,176055,persona,A high school student who struggled with reading comprehension and found solace in art,16,yes,100,"The persona explicitly identifies as a 'high school student' and includes the context of struggling with reading comprehension, which is a specific academic challenge within a school environment.",0,16,16,,
persona::177393,177393,persona,A high school student who has attended every live performance and knows all the YouTuber's songs by heart,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the concrete school context of attending live performances, which implies active participation in school or school-related events.",0,16,16,,
persona::178052,178052,persona,"A high school student who opts in for science subjects, hoping to follow older sibling's footsteps in computer science",16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions 'science subjects,' which is a concrete reference to coursework in a high school context.",0,16,16,,
persona::178162,178162,persona,A high school senior who has benefited from the individualized education plans and is now considering a career in education,16,yes,100,"The persona explicitly identifies as a 'high school senior' and references 'individualized education plans,' which are specific to the high school context, indicating current enrollment in high school.",0,16,16,,
persona::178415,178415,persona,a high school student who is doubtful about discount shopping,16,yes,100,"The persona explicitly identifies as 'a high school student' and expresses doubt about discount shopping, which is a personal perspective within a school context, implying current enrollment in high school.",0,16,16,,
persona::179396,179396,persona,A high school junior who is producing a documentary on the social effects of the internet for a class project,16,yes,100,"The persona explicitly identifies as a 'high school junior' and mentions producing a documentary 'for a class project,' which constitutes a concrete school context involving coursework and academic assignment.",0,16,16,,
persona::179551,179551,persona,A high school student curious about different religions and seeking guidance for their future studies,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses curiosity about religions and future studies, which implies current engagement in high school life and academic planning.",0,16,16,,
persona::179667,179667,persona,A politically indifferent high school student who's just been assigned to write a report about a local politician.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions being 'assigned to write a report,' which is a concrete reference to a school context involving coursework.",0,16,16,,
persona::179745,179745,persona,A high school student looking for hands-on work experience in the field,16,yes,100,"The persona explicitly identifies as a 'high school student' and is seeking 'hands-on work experience in the field,' which implies current involvement in high school, likely through school-related activities or career exploration programs.",0,16,16,,
persona::181072,181072,persona,A high school student who aspires to become a firefighter and admires the custodian's dedication to their job,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of school life through the mention of aspirations and admiration for a custodian, which implies a current school environment.",0,16,16,,
persona::182110,182110,persona,"A high school student participating in a logic competition, eager to learn new strategies",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references participation in a 'logic competition,' which is a concrete school context involving academic extracurricular activity typical of high school life.",0,16,16,,
persona::182932,182932,persona,A high school student advocating for youth empowerment and representation in local government,16,yes,100,"The persona explicitly identifies as a 'high school student' and advocates for youth empowerment and representation in local government, which implies active involvement in school-related civic or educational contexts.",0,16,16,,
persona::183449,183449,persona,A high school student who finds inspiration in the podcast series and has started their own history blog,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions starting a history blog, which is a concrete reference to a school-related activity within the context of upper secondary education.",0,16,16,,
persona::183469,183469,persona,A high school student who looks up to their older sibling's leadership skills and seeks guidance on running for student council,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'running for student council,' which is a concrete school context within high school life.",0,16,16,,
persona::185651,185651,persona,a high school student who is fascinated with how the world of online gaming and real world shopping can intersect.,16,yes,100,"The persona explicitly identifies as 'a high school student' and expresses interest in the intersection of online gaming and real-world shopping, which implies engagement with current school life and context.",0,16,16,,
persona::187182,187182,persona,A high school student conducting independent research on lesser-known aspects of the Holocaust,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and describes conducting 'independent research,' which is a concrete school context involving coursework or academic activity typical of high school education.",0,16,16,,
persona::188457,188457,persona,"A high school student aspiring to be a doctor, seeking guidance on how to excel in both academics and sports",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses aspirations related to excelling in academics and sports, which are typical aspects of current high school life.",0,16,16,,
