idx,persona_text,age,source_config,strict_reject_reasons,llm_label,llm_confidence,llm_reason,age_refined,age_refine_confidence,age_refine_reason
29158,A college freshman interested in studying automobile engineering,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
41919,"A freshman student who is excited about joining an ""Ultimate Frisbee"" club at the University.",18.0,persona,[],yes,100,Persona is explicitly described as a freshman student at a university.,18.0,,
94796,a first-year female undergraduate who is majoring in electronics at a university,18.0,persona,[],yes,100,clearly described as a first-year university student,18.0,,
131810,a first-year history student at Oregon State University with some interest in environmental topics,18.0,persona,[],yes,100,explicitly described as a first-year university student,18.0,,
136245,"A budding film music composer currently studying at Berklee College of Music, who idolizes established composers and seeks inspiration from their careers.",18.0,persona,[],yes,90,"studying at Berklee College of Music implies enrollment in a higher-education program, and no information suggests they are beyond their first year",18.0,,
5343,A first-year university student who dreams of studying in a foreign country to immerse themselves in a different culture,18.0,persona,[],yes,100,Persona is explicitly described as a first-year university student,18.0,,
10520,Introductory level computer engineering university student,18.0,persona,[],yes,90,introductory level implies first year,18.0,,
24123,A college freshman discovering the world of literature and finding their passion for writing,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
29585,a freshman college football player for Alabama State University,18.0,persona,[],yes,100,explicitly described as a freshman college student,18.0,,
49350,a freshman at the University of Vermont studying Business Administration,18.0,persona,[],yes,100,explicitly described as a freshman at a university,18.0,,
95088,a freshman college student who is the first in his family to attend college,18.0,persona,[],yes,100,explicitly described as a freshman college student,18.0,,
132723,a freshman psychology student at Palo Alto University,18.0,persona,[],yes,100,explicitly described as a freshman university student,18.0,,
113530,a freshman at Columbia College,18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
128278,"a freshman biomedical engineering student at the University of Massachusetts, Lowell",18.0,persona,[],yes,100,explicitly described as a freshman university student,18.0,,
153707,"A freshman chemistry student pursuing a Bachelor's degree at the University of California, Irvine.",18.0,persona,[],yes,100,Explicitly described as a freshman university student,18.0,,
194503,an ambitious freshman now studying at Baker University,18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
42594,a freshman student considering joining a fraternity at Illinois Wesleyan University.,18.0,persona,[],yes,100,explicitly described as a freshman student at a university,18.0,,
78061,A freshman student at Wayne State College who's never experienced a tornado,18.0,persona,[],yes,100,Explicitly described as a freshman student,18.0,,
194725,A freshman in college who is interested in studying abroad but is unsure about the application requirements and process,18.0,persona,[],yes,100,Persona is explicitly described as a freshman in college,18.0,,
42729,A freshman in mathematics at a university,18.0,persona,[],yes,100,Explicitly described as a freshman at a university,18.0,,
45780,A freshman student at Artsakh State University (ArSU),18.0,persona,[],yes,100,Explicitly described as a freshman student at a university,18.0,,
67904,a freshman history student at the National University of Singapore,18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
71887,An international student from a non-Christian country who has recently started studying at a Western university.,18.0,persona,[],yes,90,recently started studying at a Western university implies first-year student,18.0,,
6306,a freshman art student at Carnegie Mellon University,18.0,persona,[],yes,100,explicitly described as a freshman university student,18.0,,
97220,A freshman who just joined the Temple University Diamond Marching Band.,18.0,persona,[],yes,100,"Persona is explicitly described as a freshman, indicating first-year university student",18.0,,
154620,a first-year architecture student at Japan Women's University,18.0,persona,[],yes,100,clearly described as a first-year university student,18.0,,
161077,a freshman student at Southern Illinois University Carbondale who is passionate about heritage conservation,18.0,persona,[],yes,100,explicitly described as a freshman student,18.0,,
2460,A college freshman experiencing the challenges of living away from home for the first time,18.0,persona,[],yes,100,Explicitly described as a college freshman,18.0,,
19507,"A first-year university student from Lima, Peru studying history.",18.0,persona,[],yes,100,Persona is explicitly described as a first-year university student,18.0,,
36793,a freshman student preparing to enroll in Elon University,18.0,persona,[],yes,100,explicitly described as a freshman student,18.0,,
46202,a freshman at a UK university who follows fashion trends,18.0,persona,[],yes,100,explicitly described as a freshman,18.0,,
68568,a freshman college student majoring in Social Genetics,18.0,persona,[],yes,100,explicitly described as a freshman college student,18.0,,
72382,a freshman in university who is passionate about fencing and is planning to participate in future World Fencing Championship,18.0,persona,[],yes,100,Persona is explicitly described as a freshman in university,18.0,,
82428,"a recent graduate of Woodbridge High School, now studying at university",16.0,persona,[],yes,90,"recent high school graduate now at university, likely a freshman",16.0,,
145283,An average college freshman who is more interested in subjects related to his chosen major and is not particularly enthusiastic about general education requirements,18.0,persona,[],yes,100,Persona is explicitly described as a college freshman,18.0,,
149464,A first-year law student studying at the University of São Paulo,18.0,persona,[],yes,100,Clearly described as a first-year university student,18.0,,
