persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::51468,51468,persona,A fellow high school student who is interested in starting a digital marketing club,16,yes,100,"The persona explicitly identifies as 'a fellow high school student' and expresses interest in starting a 'digital marketing club,' which is a concrete school context involving student-led activities within a high school environment.",0,16,16,,
persona::51699,51699,persona,I am a curious high school student from a non-English speaking country interested in studying Romance languages and considering the pathways such studies could offer.,16,yes,100,"The persona explicitly identifies as a 'high school student' and expresses interest in studying Romance languages, which is a concrete academic pursuit within a high school context.",0,16,16,,
persona::52858,52858,persona,A high school student researching influential engineers for a class project,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions researching for a 'class project', which constitutes a concrete school context involving coursework and academic assignment.",0,16,16,,
persona::53494,53494,persona,A high school student interested in programming who aspires to develop their own compiler one day,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses an interest in programming, which is a concrete school context related to coursework or extracurricular activities typically found in high school.",0,16,16,,
persona::54830,54830,persona,A high school student who is a big fan of American football and particularly admires Coach Jess Simpson.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes a concrete school context through the mention of 'Coach Jess Simpson,' which implies a school-based athletic environment typical of high school.",0,16,16,,
persona::55626,55626,persona,A high school student who has transformed their bedroom into a home gym and shares workout routines with their classmates,16,yes,100,The persona explicitly identifies as a 'high school student' and includes a concrete school context by mentioning 'sharing workout routines with their classmates'.,0,16,16,,
persona::57121,57121,persona,A curious high school student interested in diverse fields and considering a future in alternative medicine.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in diverse fields, which implies current enrollment in high school, a typical context for such academic exploration.",0,16,16,,
persona::57287,57287,persona,A high school student who is passionate about history and looks up to academic figures like Stephen Garton,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses passion for history, which is a subject typically studied in high school, indicating a current academic context.",0,16,16,,
persona::58793,58793,persona,A high school student who assists with organizing and promoting the sessions,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions assisting with organizing and promoting 'the sessions,' which implies a current school-related activity or event within a high school context.",0,16,16,,
persona::59401,59401,persona,"A high school student who is fascinated by both math and technology, eagerly participating in the interactive lessons",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'interactive lessons,' which constitutes a concrete reference to a school context such as classes or coursework.",0,16,16,,
persona::60241,60241,persona,"A high school student interested in STEM, using her father's drones for her school projects",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions using drones for 'her school projects,' which constitutes a concrete reference to a school context.",0,16,16,,
persona::60427,60427,persona,"A high school student interested in computer science, seeking guidance on UI design principles",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in computer science, which is a subject typically studied in high school, indicating current enrollment in high school.",0,16,16,,
persona::60436,60436,persona,"A high school student interested in both anthropology and computer science, looking for advice on building a career that combines the two fields",16,yes,100,"The persona explicitly identifies as a 'high school student' and expresses interest in building a career that combines anthropology and computer science, indicating current engagement in high school education.",0,16,16,,
persona::60945,60945,persona,A high school student who is curious about military life and seeks to learn about their experiences in the army,16,yes,100,"The persona explicitly identifies as a 'high school student' and expresses curiosity about military life, which implies current engagement with high school context, such as personal interest or academic exploration within the school environment.",0,16,16,,
persona::61360,61360,persona,A curious high school student exploring different psychological conditions for a class project on mental health awareness.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'a class project on mental health awareness,' which constitutes a concrete school context involving coursework and academic activity.",0,16,16,,
persona::61862,61862,persona,A high school student who often seeks her grandmother's help for English assignments,16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'English assignments,' which is a concrete school context involving coursework.",0,16,16,,
persona::62011,62011,persona,A high school student who has been disciplined for expressing their political views,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references disciplinary action taken in the context of expressing political views, which implies a school environment and ongoing school life.",0,16,16,,
