persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::790,790,persona,A high school student aiming to follow in their grandparent's footsteps by studying library science,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses an intention to study library science, which implies current enrollment in high school and engagement with academic planning, a concrete school context.",0,16,16,,
persona::1365,1365,persona,a high school student from El Cerrito High School,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'El Cerrito High School,' which constitutes a concrete school context.",0,16,16,,
persona::1472,1472,persona,A high school student determined to follow in their sibling's footsteps and get into Harvard,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses determination to get into Harvard, which implies current enrollment in high school and engagement with the academic environment typical of upper secondary education.",0,16,16,,
persona::1524,1524,persona,a 17-year-old high school student doing a paper for a history class,17,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions doing a 'paper for a history class,' which is a concrete reference to a school context.",0,17,17,,
persona::1835,1835,persona,A high school senior passionate about social work and considering a career in nursing,16,yes,100,"The persona explicitly identifies the individual as a 'high school senior' and implies current enrollment in high school, which is a concrete school context.",0,16,16,,
persona::4066,4066,persona,A high school student who is an eSports competitor and considers retro games antiquated,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of being an eSports competitor, which is a concrete school-related activity within the high school environment.",0,16,16,,
persona::6256,6256,persona,A friendly and outgoing American high school student who offers language practice and cultural immersion opportunities,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies current enrollment through the context of offering 'language practice and cultural immersion opportunities,' which are typical activities within a high school environment.",0,16,16,,
persona::6257,6257,persona,A high school student who is struggling with his history studies,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'history studies,' which is a concrete school context involving coursework.",0,16,16,,
persona::6472,6472,persona,A curious high schooler passionate about marine life and interested in learning about seagrass conservation,16,yes,100,"The persona explicitly identifies the individual as a 'high schooler' and expresses interest in 'learning about seagrass conservation,' which implies current engagement in educational activities typical of a high school context.",0,16,16,,
persona::6842,6842,persona,"A high school student interested in pursuing a career in architecture, who seeks guidance from the engineering student",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in pursuing a career in architecture, which implies current enrollment in high school or upper secondary education with an ongoing academic context.",0,16,16,,
persona::6935,6935,persona,a bored high school student who is forced to do his English assignments.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'English assignments,' which is a concrete school context involving coursework.",0,16,16,,
persona::7439,7439,persona,A high school student fascinated by artificial intelligence and eager to follow in their grandparent's footsteps,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in artificial intelligence, which is a concrete context within high school education, indicating current enrollment in high school.",0,16,16,,
persona::8043,8043,persona,a current high school student who struggles understanding older movie references,16,yes,100,"The persona explicitly identifies as a 'current high school student' and references struggles with understanding 'older movie references,' which implies a school context involving learning or social interaction within a high school environment.",0,16,16,,
persona::8412,8412,persona,A high school student struggling with remote learning and in need of extra support and guidance,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'remote learning,' which is a concrete school context related to current high school coursework and environment.",0,16,16,,
persona::8843,8843,persona,A high school student struggling with understanding Newton's laws of motion,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'Newton's laws of motion,' which is a specific topic typically taught in high school physics classes, indicating a concrete school context.",0,16,16,,
persona::9146,9146,persona,A high school student starting to face the challenges of peer influence,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'peer influence,' which is a concrete aspect of the high school environment and social context.",0,16,16,,
persona::9274,9274,persona,A high school student seeking guidance on career paths in the field of mental health,16,yes,100,"The persona explicitly identifies as 'a high school student' and is seeking guidance on career paths, which implies current engagement in high school education and consideration of future directions within the context of their current academic environment.",0,16,16,,
persona::9781,9781,persona,"A high school student who relies on their grandmother's resources for school project, with a soft spot for mythology",16,yes,100,"The persona explicitly identifies as a 'high school student' and references 'school project,' which is a concrete school context.",0,16,16,,
persona::11093,11093,persona,a curious high school student who only knows the basic concepts of atomic and molecular structures and behaviors.,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'atomic and molecular structures and behaviors,' which is a concrete topic within the high school science curriculum, indicating a current school context.",0,16,16,,
persona::11102,11102,persona,"Elin Williams, a high school student interested in pursuing a career in epidemiology",16,yes,100,"The persona explicitly identifies Elin Williams as a 'high school student' and expresses interest in a career in epidemiology, which implies current enrollment in high school, a typical context for such career exploration.",0,16,16,,
persona::11194,11194,persona,A younger sister who is also a high school student and finds the personalized learning experience challenging and overwhelming,16,yes,100,"The persona explicitly identifies as 'a high school student' and references 'personalized learning experience,' which is a concrete school context related to coursework and educational environment in high school.",0,16,16,,
persona::11248,11248,persona,A 16-year-old high school student in New Zealand who is passionate about learning the Maori culture and has been assigned to write an essay about a significant figure within it.,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions being 'assigned to write an essay,' which is a concrete reference to a school context (coursework).",0,16,16,,
persona::11926,11926,persona,A high school student who admires the content creator's visually appealing infographics and shares them with friends,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and includes the context of sharing content with friends, which implies a current school environment and social interaction typical of high school life.",0,16,16,,
persona::14597,14597,persona,"A high school student interested in coding, seeking guidance on getting started with OpenCV",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in coding, which is a concrete school context related to coursework or personal academic pursuit within a high school environment.",0,16,16,,
persona::14643,14643,persona,A high school student who is torn between joining a gang for protection and pursuing education,16,yes,100,"The persona explicitly identifies as a 'high school student' and references a conflict between joining a gang and pursuing education, which implies a current high school context involving personal decisions about school life and future goals.",0,16,16,,
persona::14656,14656,persona,A high school senior who was initially disinterested in math but became motivated after experiencing the math teacher's unique teaching methods,16,yes,100,"The persona explicitly identifies the individual as a 'high school senior' and references 'the math teacher's unique teaching methods,' which constitutes a concrete school context involving teachers and instruction within a high school setting.",0,16,16,,
persona::15064,15064,persona,a high school student who barely passed biology,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'biology,' which is a subject typically taken in high school, establishing a concrete school context.",0,16,16,,
persona::15248,15248,persona,A high school student researching African American history for a school project,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions researching African American history 'for a school project', which constitutes a concrete school context involving coursework and academic assignment.",0,16,16,,
persona::15258,15258,persona,"A high school student who often asks their classmate for math help, as they share the same bus route",16,yes,100,"The persona explicitly identifies as a 'high school student' and includes the concrete school context of sharing a bus route with a classmate, which implies ongoing school life and interaction within a high school environment.",0,16,16,,
persona::16213,16213,persona,A high school student exploring their own cultural identity through the exhibited art,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references 'exhibited art,' which constitutes a concrete school context such as a school art exhibition or curriculum-related activity.",0,16,16,,
persona::16829,16829,persona,A high school student interested in pursuing a career in data science and seeking guidance on building a strong foundation in mathematics,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in building a foundation in mathematics, which is a core part of the high school curriculum, indicating current enrollment in high school.",0,16,16,,
persona::17067,17067,persona,"A high school student inspired by the journalist's articles, who starts a voter education club at their school",16,yes,100,The persona explicitly identifies as a 'high school student' and includes a concrete school context by mentioning 'starts a voter education club at their school'.,0,16,16,,
persona::17200,17200,persona,A tenacious high school student researching for his history project eagerly,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'researching for his history project,' which is a concrete reference to a school context involving coursework and academic activity.",0,16,16,,
