persona_id,idx,source_config,persona_text,age_refined,llm_label,llm_confidence,llm_reason,shard_id,age_heuristic,age,age_refine_confidence,age_refine_reason
persona::135467,135467,persona,A high school student who assists in organizing events at the museum and finds inspiration in the sergeant's stories,16,yes,100,"The persona explicitly identifies as a 'high school student' and includes the concrete school context of 'organizing events at the museum,' which implies active participation in school-related or school-organized activities.",0,16,16,,
persona::136054,136054,persona,An interested high school student who is doing research on Buddhism for a school project.,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions doing research on Buddhism 'for a school project', which constitutes a concrete school context involving coursework and academic tasks.",0,16,16,,
persona::137110,137110,persona,A high school student who often visits them for help with assignments and enjoys listening to their partner's jokes,16,yes,100,The persona explicitly identifies the individual as a 'high school student' and includes the concrete school context of 'help with assignments'.,0,16,16,,
persona::137768,137768,persona,A high school junior passionate about robotics and feels indifferent towards literature,16,yes,100,"The persona explicitly identifies the individual as a 'high school junior' and expresses feelings about 'literature,' which is a subject typically taught in high school, indicating a concrete school context.",0,16,16,,
persona::138721,138721,persona,A high school student who finds inspiration in the ecologist's writing and starts her own environmental club,16,yes,100,"The persona explicitly identifies as a 'high school student' and describes starting an environmental club, which is a concrete reference to a school context.",0,16,16,,
persona::139056,139056,persona,A high school student fascinated by her parent's work and aspiring to explore societal issues,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and expresses interest in societal issues, which implies engagement with school-related topics or curriculum, satisfying the requirement for a concrete school context.",0,16,16,,
persona::139315,139315,persona,A high school junior passionate about robotics and eager to apply chemical principles to robotic sensors,16,yes,100,"The persona explicitly identifies the individual as a 'high school junior' and expresses interest in applying chemical principles to robotic sensors, which implies current involvement in high school coursework or activities related to science and robotics.",0,16,16,,
persona::139937,139937,persona,I am a high school student participating in the Science Olympiad with a specialization in magnetic devices and applications.,16,yes,100,"The persona explicitly identifies as a 'high school student' and references participation in the 'Science Olympiad,' which is a concrete school context involving coursework, competition, and academic activities typical of high school life.",0,16,16,,
persona::140249,140249,persona,A high school student in North Dakota writing a report on local political history,16,yes,100,"The persona explicitly identifies as 'a high school student' and is writing a report on local political history, which constitutes a concrete school context involving coursework and academic assignment.",0,16,16,,
persona::141105,141105,persona,I am a curious high school student from Hungary who enjoys researching my country's notable figures and sharing fun facts with my friends.,16,yes,100,"The persona explicitly identifies as a 'high school student' and mentions researching 'notable figures' and sharing facts with friends, which implies an active school context such as coursework or class discussions.",0,16,16,,
persona::141224,141224,persona,A high school senior who helps the younger brother prepare for the challenges of high school,16,yes,100,"The persona explicitly identifies as a 'high school senior' and describes helping a younger brother prepare for 'the challenges of high school,' which constitutes a concrete reference to a high school context.",0,16,16,,
persona::141340,141340,persona,A high school student who actively participates in the workshops and shows potential for becoming a future legal advocate,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and references participation in 'workshops', which constitutes a concrete school context.",0,16,16,,
persona::141681,141681,persona,A high school student learning about the structure of local government,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and mentions 'learning about the structure of local government,' which is a concrete reference to coursework or curriculum in a high school context.",0,16,16,,
persona::142156,142156,persona,"A high school student from Montevideo, Uruguay, who has been dreaming of becoming a racing driver.",16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and specifies their location as Montevideo, Uruguay, which provides a concrete school context.",0,16,16,,
persona::142547,142547,persona,A curious high schooler conducting a research project on biodegradation,16,yes,100,"The persona explicitly identifies the individual as a 'high schooler' and describes conducting a 'research project', which is a concrete school context involving coursework and academic activity within a high school environment.",0,16,16,,
persona::145245,145245,persona,A high school student actively involved in community volunteering and aspiring to go into law enforcement,16,yes,100,"The persona explicitly identifies the individual as a 'high school student' and implies current enrollment through involvement in community volunteering, which is typically a school-related or extracurricular activity during high school.",0,16,16,,
